OrderID,CustomerID,OrderDate,Category,Sales,Quantity,Discount,Profit
7047,28,02-06-2024,Clothing,82.77,1,0.2,25.71
7048,66,12-10-2024,Clothing,41.63,7,0.15,100.07
7049,32,30-11-2024,Beauty,101.06,7,0.15,260.18
7050,60,26-06-2024,Beauty,113.97,3,0.2,113.44
7051,39,25-07-2024,Sports,182.74,6,0,314.21
7052,21,01-05-2024,Clothing,64.21,4,0.05,76.68
7053,12,28-08-2024,Clothing,59.12,1,0.05,13.59
7054,67,08-05-2024,Beauty,12.32,4,0.1,15.06
7055,3,05-09-2024,Clothing,72.37,2,0.1,55.45
7056,65,30-10-2024,Beauty,40.83,6,0.05,84.84
7057,28,02-02-2024,Electronics,853.18,2,0.05,363.95
7058,65,28-08-2024,Beauty,113.9,7,0.1,261.8
7059,9,08-11-2024,beauty,65.66,4,0.15,63.23
7060,69,13-05-2024,Clothing,78.26,3,0.15,87.11
7061,5,22-06-2024,Electronics,1018.75,1,0.1,-134.7
7062,34,12-06-2024,Home & Kitchen,366.08,2,0,261.98
7063,52,04-08-2024,Clothing,149.24,2,0.1,60.86
7064,59,31-01-2024,Clothing,147.48,1,0.1,45.79
7065,46,19-12-2024,Home & Kitchen,370.18,6,0,402.18
7066,69,03-06-2024,Electronics,159.32,3,0.1,73.29
7067,12,13-02-2024,Sports,213.25,7,0.05,502.4
7068,38,15-03-2024,Electronics,336.19,2,0,151.19
7069,59,01-05-2024,Clothing,64.76,3,0,29.92
7070,15,14-12-2024,Electronics,540.67,6,0.15,1163.74
7071,48,07-07-2024,Electronics,237.7,4,0.3,255.25
7072,12,31-07-2024,Clothing,111.81,1,0.2,28.22
7073,31,15-09-2024,Home & Kitchen,397.69,1,0.1,66.94
7074,12,27-01-2024,Beauty,65.59,5,0.05,93.7
7075,3,18-04-2024,Home & Kitchen,254.96,1,0.1,-35.1
7076,24,02-02-2024,Clothing,125.71,3,0.1,87.9
7077,17,11-12-2024,Clothing,38.81,4,0.3,16.55
7078,33,18-08-2024,Clothing,125.48,6,0,182.74
7079,49,26-03-2024,Books,34.99,6,0,54.17
7080,8,18-06-2024,Home & Kitchen,235.3,2,0.15,76.04
7081,66,28-05-2024,Electronics,1119.24,7,0.05,2900.87
7082,14,06-10-2024,Home & Kitchen,295.89,5,0.05,264.25
7083,49,03-06-2024,Home & Kitchen,399.41,2,0,348.65
7084,42,08-09-2024,Home & Kitchen,271.25,7,0.1,538.56
7085,20,21-12-2024,Home & Kitchen,73.43,3,0.1,71.71
7086,24,12-11-2024,Home & Kitchen,348.16,3,0.15,304.63
7087,12,22-07-2024,Clothing,57.03,4,0.05,80.15
7088,50,15-07-2024,Electronics,379.81,1,0,165.53
7089,34,06-12-2024,Electronics,67.58,2,0,20.41
7090,3,14-07-2024,Books,7.65,1,0,1.88
7091,60,11-12-2024,Clothing,139.53,5,0.05,184.17
7092,14,05-05-2024,Books,27.91,2,0,-17.61
7093,69,10-04-2024,Home & Kitchen,129.14,4,0.05,90.73
7094,41,20-06-2024,Home & Kitchen,306.06,5,0,263.95
7095,65,18-11-2024,Books,47.19,5,0.05,53.91
7096,50,18-03-2024,Electronics,721.47,6,0,1107.2
7097,40,16-12-2024,Electronics,191.56,3,0.1,144.39
7098,15,14-02-2024,Home & Kitchen,390.29,2,0.15,123.09
7099,11,19-09-2024,Beauty,7.42,1,0,1.56
7100,27,03-01-2024,Home & Kitchen,331.72,1,0.15,115.08
7101,11,11-11-2024,Electronics,839.43,6,0.15,831.11
7102,59,01-02-2024,Clothing,16.6,7,0.15,41.27
7103,67,28-03-2024,Clothing,81.37,7,0,171.63
7104,9,08-11-2024,Clothing,26.45,4,0.1,36.23
7105,35,15-09-2024,Electronics,457.83,4,0.05,437.42
7106,61,28-10-2024,Beauty,20.99,6,0.15,32.8
7107,54,16-04-2024,Home & Kitchen,111.73,1,0.2,22.58
7108,41,04-10-2024,Sports,93.58,2,0.05,27.68
7109,43,28-03-2024,Home & Kitchen,370.77,7,0,581.89
7110,40,05-07-2024,sports,77.16,1,0.05,22.76
7111,67,22-07-2024,Books,40.85,3,0.15,23.31
7112,57,27-07-2024,Beauty,110.37,1,0.05,45.19
7113,55,09-04-2024,Clothing,125.66,6,0.05,-521.4
7114,31,10-07-2024,Electronics,533.97,1,0.05,210.5
7115,35,28-04-2024,Sports,35.69,6,0.2,65.81
7116,67,20-09-2024,clothing,93.34,4,0.05,56.17
7117,27,24-01-2024,Beauty,75.24,3,0.1,85.67
7118,62,23-05-2024,Home & Kitchen,314.13,3,0.3,239.74
7119,23,30-11-2024,Beauty,7.38,7,0.15,15.19
7120,3,17-09-2024,Books,52.24,2,0.15,-20.52
7121,43,28-03-2024,Clothing,112.58,4,0,75.64
7122,20,17-02-2024,Clothing,128.63,3,0.05,148.82
7123,40,07-11-2024,Clothing,100.15,3,0,66.28
7124,7,21-09-2024,Home & Kitchen,280.32,4,0,471.32
7125,67,18-11-2024,Books,40.23,1,0.15,9.88
7126,43,28-06-2024,Clothing,12.86,6,0,19.2
7127,52,08-03-2024,Electronics,416.36,2,0.15,124.78
7128,54,12-03-2024,Home & Kitchen,,6,0.1,462.01
7129,6,07-03-2024,Clothing,42.38,7,0,89.43
7130,40,25-12-2024,Electronics,123.69,2,0.05,105.24
7131,32,18-07-2024,Sports,200.94,6,0.15,166.58
7132,43,23-04-2024,Electronics,841.87,3,0.2,820.79
7133,29,31-03-2024,Clothing,15.89,4,0,20.73
7134,49,16-06-2024,Electronics,1030.28,7,0.15,2391.68
7135,4,04-07-2024,Beauty,110.92,1,0.2,19.54
7136,4,01-04-2024,Books,20.02,4,0.15,28.89
7137,5,10-08-2024,Books,40.52,1,0.05,15.62
7138,30,02-06-2024,Clothing,95.56,5,0,99.64
7139,20,10-03-2024,Clothing,21.69,6,0.2,33.68
7140,67,06-07-2024,Sports,108.84,2,0,42.7
7141,14,27-12-2024,Clothing,46.15,3,0.05,28.85
7142,21,09-03-2024,Electronics,278.78,7,0,565.12
7143,24,16-09-2024,Home & Kitchen,394.78,4,0.1,-350.39
7144,50,08-07-2024,Electronics,117.91,4,0,78.03
7145,65,14-03-2024,Home & Kitchen,372.96,5,0,634.31
7146,42,28-12-2024,Home & Kitchen,226.42,2,0,125.5
7147,53,27-10-2024,Electronics,487.03,1,0.2,125.69
7148,12,27-06-2024,Electronics,492.12,5,0.05,949.7
7149,38,11-02-2024,Clothing,74.46,3,0.15,33.36
7150,18,16-11-2024,Electronics,296.44,1,0.15,65.33
7151,43,10-07-2024,Sports,167.3,4,0.05,144.96
7152,59,04-11-2024,Electronics,62.89,2,0.2,43.91
7153,53,06-04-2024,Clothing,147.02,5,0.1,265.05
7154,70,27-11-2024,Electronics,749.83,2,0.05,634.54
7155,66,02-04-2024,Books,58.37,6,0.1,56.92
7156,59,31-01-2024,Electronics,121.08,1,0,51.6
7157,6,31-03-2024,Clothing,112.07,3,0.05,130.68
7158,3,04-08-2024,Clothing,57.76,1,0,10.85
7159,14,24-05-2024,Sports,189.16,1,0.1,44.13
7160,28,22-04-2024,Clothing,88.19,5,0.05,77.91
7161,21,06-10-2024,Electronics,897.44,7,0,2005.09
7162,15,12-01-2024,Books,17.34,7,0.1,28.76
7163,29,18-12-2024,Beauty,86.93,-6,0.05,129.04
7164,11,09-11-2024,Sports,75.79,5,0.2,101.12
7165,45,20-08-2024,Clothing,101.39,6,0.15,98.89
7166,44,30-09-2024,Electronics,846.28,7,0.1,-1113.07
7167,69,27-05-2024,Clothing,17.38,1,0,7.53
7168,46,30-09-2024,Electronics,720.9,2,0.1,426.85
7169,27,16-12-2024,Books,18.13,5,0.05,19.86
7170,11,18-08-2024,Clothing,53.48,-4,0.1,74.86
7171,51,11-03-2024,Home & Kitchen,286.12,3,0.05,151.49
7172,11,28-10-2024,Electronics,1041.08,3,0.15,1148.58
7173,6,09-02-2024,Electronics,1196.17,3,0.3,
7174,11,12-09-2024,Sports,48.71,1,0,11.9
7175,5,08-10-2024,Clothing,57.55,3,0,49.68
7176,13,29-03-2024,Home & Kitchen,188.67,4,0.15,250.98
7177,37,31-12-2024,Books,7.29,5,0.1,5
7178,29,29-10-2024,Home & Kitchen,255.66,4,0.2,315.77
7179,18,31-07-2024,Clothing,148.15,2,0,108.1
7180,15,04-02-2024,Clothing,45.81,3,0.15,40.79
7181,13,16-06-2024,Clothing,57.07,2,0.1,30.09
7182,54,29-12-2024,Books,20.49,4,0,15.23
7183,4,24-01-2024,Clothing,145.85,7,0.15,223.43
7184,10,01-01-2024,Electronics,1055.4,2,0.1,343.58
7185,29,31-08-2024,Books,56.93,3,0,56.84
7186,25,24-12-2024,Electronics,908.54,3,0.15,454.46
7187,12,04-05-2024,Clothing,124.24,5,0,104.98
7188,37,10-06-2024,Home & Kitchen,99.92,3,0,108.01
7189,15,20-06-2024,Clothing,67.86,3,0.1,-47.35
7190,37,08-11-2024,Electronics,347.67,6,0,487.18
7191,23,17-04-2024,Sports,163.65,1,0.3,48.19
7192,67,27-05-2024,Books,48.5,2,0.1,19.01
7193,13,04-03-2024,Electronics,313.21,7,0,377.16
7194,9,04-12-2024,Books,14.49,3,0.1,15.04
7195,51,21-07-2024,Beauty,117.39,6,0.05,126.63
7196,32,01-07-2024,Home & Kitchen,378.72,5,0.05,804.22
7197,41,02-01-2024,Electronics,543.41,3,0,430.96
7198,22,16-03-2024,Home & Kitchen,373.18,5,0,290.46
7199,57,02-02-2024,Home & Kitchen,357.18,6,0.15,730.96
7200,12,24-10-2024,Home & Kitchen,178.24,2,0.15,98.04
7201,36,03-08-2024,Beauty,54.13,2,0,37.06
7202,1,27-08-2024,Beauty,13.12,3,0.05,14.09
7203,49,10-04-2024,Electronics,885.21,-6,0,1475.98
7204,64,22-06-2024,Clothing,77.37,2,0.2,54.98
7205,2,06-12-2024,Clothing,13.93,7,0,42.11
7206,70,27-08-2024,Home & Kitchen,23.97,6,0.3,39.79
7207,15,23-11-2024,Electronics,64.47,4,0,99.68
7208,24,15-07-2024,Books,56.13,3,0.2,50.92
7209,17,09-08-2024,Electronics,545.81,4,0,728.68
7210,30,20-06-2024,Electronics,822.67,2,0.15,458.42
7211,28,24-06-2024,Books,34.14,2,0.1,13.2
7212,18,11-01-2024,Home & Kitchen,270.95,3,0.05,283.59
7213,35,09-03-2024,Electronics,887.04,1,0,263.9
7214,21,19-11-2024,Electronics,982.44,1,0,346.26
7215,5,25-06-2024,Home & Kitchen,281.26,2,0,149.65
7216,47,17-11-2024,Home & Kitchen,59.21,5,0,116.53
7217,12,25-02-2024,Beauty,43.57,4,0.1,32.95
7218,57,09-02-2024,Books,50.45,2,0,31.79
7219,24,14-04-2024,Sports,38.38,2,0.2,12.69
7220,7,12-10-2024,Books,41.61,6,0,68.16
7221,2,27-08-2024,Books,44.26,5,0.15,54.62
7222,3,24-02-2024,Electronics,178.66,1,0,72.57
7223,17,28-07-2024,Clothing,76.53,1,0.1,24.7
7224,14,27-06-2024,Electronics,847.92,7,0.05,950.75
7225,68,24-06-2024,Books,16.8,1,0.05,6.91
7226,63,29-06-2024,Clothing,36.91,5,0.15,36.57
7227,45,24-11-2024,Electronics,283.7,6,0.3,224.63
7228,46,20-05-2024,Electronics,1168.62,7,0,3046
7229,38,14-04-2024,Sports,72.97,2,0.15,43.16
7230,58,21-02-2024,Sports,49.89,1,0.1,-5.1
7231,36,27-08-2024,Electronics,1022.96,4,0,1281.28
7232,50,05-08-2024,Books,33.67,5,0,52.06
7233,20,03-08-2024,Sports,103.42,6,0.1,250.28
7234,61,28-02-2024,Books,27.68,5,0.05,51.31
7235,1,11-11-2024,Home & Kitchen,361.86,4,0.15,502.68
7236,23,01-04-2024,Sports,285.85,1,0.05,63.25
7237,7,18-04-2024,Beauty,14.97,3,0.05,15.69
7238,25,03-05-2024,Books,19.96,2,0.05,12.9
7239,57,04-06-2024,Home & Kitchen,84.53,5,0.1,-42.54
7240,18,21-12-2024,Home & Kitchen,194.79,3,0.05,95.46
7241,62,21-06-2024,Beauty,110.65,3,0.05,113.39
7242,46,29-12-2024,Clothing,115.77,5,0,156.61
7243,52,23-01-2024,Clothing,121.07,2,0.15,54.96
7244,2,02-01-2024,Sports,108.86,1,0.05,28.9
7245,43,08-08-2024,Home & Kitchen,308.42,3,0.1,341.59
7246,63,11-09-2024,Home & Kitchen,147.48,7,0.1,248.55
7247,37,15-01-2024,Sports,117.04,7,0,167.12
7248,4,03-07-2024,Clothing,49.96,2,0.05,28.43
7249,48,12-07-2024,Beauty,104.43,1,0.1,37.73
7250,7,11-12-2024,Books,52.94,4,0.05,67.9
7251,29,08-03-2024,Electronics,282.13,6,0.15,241.7
7252,54,19-04-2024,Books,46.45,5,0.15,87.57
7253,48,30-10-2024,Home & Kitchen,387.21,3,0,404.63
7254,6,12-10-2024,Beauty,67.25,7,0.15,128.71
7255,15,01-08-2024,Home & Kitchen,174.98,6,0,397.33
7256,27,16-04-2024,Sports,228.48,2,0,-293.91
7257,11,11-01-2024,Home & Kitchen,60.85,4,0,96.56
7258,16,26-05-2024,Electronics,866.31,2,0.05,393.56
7259,32,26-04-2024,Clothing,123.85,3,0,108.16
7260,40,26-08-2024,Clothing,98.12,7,0.1,200.67
7261,25,26-02-2024,Home & Kitchen,26.34,7,0.15,70.26
7262,22,29-08-2024,Sports,108.14,4,0,186.52
7263,17,20-02-2024,Clothing,108.27,2,0.1,-35.43
7264,13,09-08-2024,Beauty,48.65,1,0.1,9.21
7265,12,04-03-2024,Books,24.09,5,0.1,19.04
7266,56,27-06-2024,Books,13.91,2,0.1,9.93
7267,15,29-11-2024,Books,20.43,7,0,28.31
7268,6,08-12-2024,Beauty,69.49,1,0.05,27.93
7269,6,28-02-2024,Beauty,52.84,6,0,119.89
7270,34,05-07-2024,Home & Kitchen,216.23,4,0,304.4
7271,10,02-05-2024,Electronics,70.59,6,0.05,73.33
7272,31,03-10-2024,Home & Kitchen,259.63,3,0.1,183.79
7273,5,08-11-2024,Home & Kitchen,248.96,1,0,89.72
7274,11,02-08-2024,Electronics,855.04,3,0,1132.91
7275,65,23-07-2024,Beauty,42.25,1,0.15,5.47
7276,65,08-04-2024,Home & Kitchen,55.71,5,0,123.42
7277,57,02-11-2024,Clothing,17.99,1,0,2.72
7278,35,19-09-2024,Beauty,10.94,7,0,18.09
7279,47,14-10-2024,Electronics,1025.16,2,0.05,
7280,32,08-02-2024,Home & Kitchen,209.04,3,0.1,94.76
7281,40,05-12-2024,Books,52.98,7,0.1,140.68
7282,44,20-05-2024,Electronics,782.46,1,0.2,219
7283,61,28-07-2024,Beauty,52.7,3,0.1,26.34
7284,59,31-10-2024,Electronics,715.18,4,0,853.4
7285,9,18-07-2024,Sports,237.88,1,0.05,62.5
7286,1,10-10-2024,Electronics,189.97,4,0.1,280.26
7287,34,22-08-2024,Home & Kitchen,352.82,7,0,376.6
7288,22,28-11-2024,Sports,150.73,4,0,154.41
7289,67,03-03-2024,Electronics,1078.93,2,0.1,640.48
7290,19,09-08-2024,Home & Kitchen,228.52,5,0.3,154.08
7291,48,29-09-2024,Electronics,297.72,2,0.05,-376.61
7292,57,12-08-2024,Clothing,132.63,3,0,104.41
7293,30,29-10-2024,Beauty,61.18,1,0.15,23.06
7294,44,23-11-2024,Sports,244.49,2,0.05,82.62
7295,22,07-10-2024,Electronics,359.83,1,0,151.77
7296,66,12-09-2024,Sports,52.14,4,0.15,45.98
7297,53,30-09-2024,Sports,225.16,1,0.1,53.7
7298,6,08-09-2024,Home & Kitchen,301.25,4,0.05,484.14
7299,38,16-02-2024,Electronics,360.83,3,0,483.35
7300,55,28-06-2024,Home & Kitchen,17.16,2,0.05,13.65
7301,34,10-04-2024,Electronics,679.44,4,0,894.58
7302,51,30-10-2024,Electronics,84.98,2,0.05,36.62
7303,34,16-10-2024,Sports,116.01,3,0,113.7
7304,41,17-03-2024,Electronics,530.85,1,0.15,129.95
7305,37,27-03-2024,Clothing,138.62,1,0.05,35.89
7306,18,16-12-2024,Sports,178.84,2,0.15,74.78
7307,36,19-09-2024,Electronics,938.26,4,0.05,1466.82
7308,17,05-08-2024,Clothing,116.73,7,0.15,289.63
7309,19,29-12-2024,Clothing,148.15,1,0.1,47.57
7310,17,18-01-2024,Clothing,85.77,7,0.1,232.52
7311,3,25-11-2024,Clothing,109.35,6,0.15,225.85
7312,22,20-11-2024,Home & Kitchen,77.94,3,0.2,42.67
7313,8,28-11-2024,Electronics,317.22,2,0.05,153.84
7314,19,11-12-2024,Sports,57.7,5,0.05,68.54
7315,37,16-03-2024,Home & Kitchen,145.44,1,0.2,31.67
7316,68,23-10-2024,Beauty,95.71,5,0.15,95.74
7317,19,24-01-2024,Books,58.88,4,0,77.72
7318,62,06-06-2024,Beauty,68.71,3,0,76.92
7319,10,06-11-2024,Electronics,710.32,3,0.1,438.04
7320,1,10-09-2024,Electronics,104.56,6,0.1,103.89
7321,18,13-10-2024,Electronics,919.06,7,0.1,-2428.77
7322,64,17-09-2024,Books,56.88,1,0,23.83
7323,54,07-09-2024,Beauty,109.93,7,0,168.94
7324,65,19-03-2024,Electronics,75.12,6,0.15,144.75
7325,47,24-04-2024,Books,35.64,3,0,27.95
7326,35,03-05-2024,sports,243.3,3,0.1,194.49
7327,2,24-01-2024,Electronics,1099.09,1,0.15,325.59
7328,29,04-04-2024,Sports,88.24,6,0.1,199.57
7329,16,14-02-2024,Clothing,21.31,6,0.15,44.13
7330,52,12-02-2024,Sports,188.28,1,0.05,71.45
7331,67,29-07-2024,Clothing,67.32,1,0,11.81
7332,62,17-09-2024,Home & Kitchen,242.45,2,0,120.46
7333,4,29-08-2024,Electronics,697.72,6,0.05,1701.6
7334,32,15-03-2024,Books,53.29,3,0.2,50.6
7335,50,14-12-2024,Electronics,972.92,1,0.1,-221.95
7336,15,11-04-2024,Home & Kitchen,175.9,3,0.1,182.53
7337,44,23-07-2024,Beauty,56.76,4,0,70.19
7338,44,11-02-2024,Clothing,93.26,6,0.1,109.42
7339,10,03-04-2024,Clothing,20.36,4,0,-46.33
7340,12,16-02-2024,beauty,102.67,6,0.05,108.89
7341,18,20-04-2024,Books,43.78,6,0.15,98.4
7342,52,03-03-2024,Sports,22.72,6,0,49.47
7343,40,05-06-2024,Clothing,148.95,7,0.1,246.7
7344,43,05-07-2024,Clothing,49.24,3,0.2,30.33
7345,47,15-10-2024,Sports,90.19,6,0.1,177.38
7346,64,17-11-2024,Clothing,92.11,4,0,89.91
7347,21,18-07-2024,beauty,77.69,5,0.05,94.5
7348,10,15-11-2024,Electronics,1055.11,6,0,2021.53
7349,5,30-06-2024,Clothing,87.09,7,0.05,141.71
7350,3,13-02-2024,Beauty,49.03,2,0,26.31
7351,36,31-08-2024,Home & Kitchen,102.89,7,0,118.08
7352,37,04-11-2024,Electronics,929.69,2,0.05,474.77
7353,51,12-07-2024,Electronics,857.65,2,0,665.33
7354,66,26-01-2024,Electronics,59.01,4,0.1,57.99
7355,21,11-12-2024,Electronics,1033.21,5,0,1445.25
7356,5,06-06-2024,Sports,,3,0,32.82
7357,69,17-04-2024,Clothing,137.55,5,0.05,126.66
7358,28,31-03-2024,Electronics,1190.2,5,0.05,1663.1
7359,6,23-01-2024,Clothing,63.04,5,0.15,80.45
7360,51,24-12-2024,Books,15.25,6,0.05,-30.11
7361,16,13-02-2024,Electronics,351.47,6,0,735.9
7362,56,21-01-2024,home & kitchen,174.17,1,0.15,48.73
7363,2,29-09-2024,Books,49.58,3,0.2,37.76
7364,45,31-12-2024,Electronics,816.25,4,0.05,988.34
7365,38,12-06-2024,Beauty,43.14,5,0,84.43
7366,8,13-07-2024,Electronics,557.88,4,0.1,816.63
7367,15,23-08-2024,Books,19.01,4,0.15,14.05
7368,9,04-08-2024,Electronics,797.91,3,0.2,487.26
7369,31,07-12-2024,Beauty,15.11,1,0.1,3.33
7370,70,11-06-2024,Books,47.59,6,0,-87.76
7371,45,24-06-2024,Books,44.57,4,0,39.55
7372,66,12-09-2024,Home & Kitchen,105.93,1,0.05,44.38
7373,49,14-11-2024,Clothing,109.22,6,0.05,275.11
7374,6,26-02-2024,Home & Kitchen,52.15,2,0,35.22
7375,47,14-11-2024,Beauty,74.39,5,0.15,65.21
7376,39,30-07-2024,Sports,41.9,7,0.2,90.03
7377,3,12-08-2024,Home & Kitchen,164.91,3,0,198.52
7378,4,26-04-2024,Electronics,,6,0,820.25
7379,1,17-11-2024,Beauty,14.97,6,0.1,24.91
7380,20,06-08-2024,Books,49.68,4,0.15,57.86
7381,27,29-01-2024,electronics,791.24,7,0,1533.77
7382,16,18-02-2024,Clothing,47.76,2,0.05,23.57
7383,67,05-02-2024,Beauty,44.19,3,0,29.81
7384,13,20-07-2024,Home & Kitchen,33.26,5,0.1,51.78
7385,62,12-11-2024,Clothing,110.33,2,0.1,66.63
7386,50,13-07-2024,Clothing,94.92,3,0,68.83
7387,57,14-11-2024,Sports,203.54,5,0,196.31
7388,29,28-05-2024,Beauty,55.83,6,0,111.75
7389,11,28-07-2024,Electronics,570.16,3,0.15,479.2
7390,50,17-01-2024,Clothing,72.17,2,0.15,37.86
7391,54,05-05-2024,Beauty,51.01,7,0.15,100.68
7392,66,06-06-2024,Sports,37.02,2,0.1,18.59
7393,46,25-07-2024,Clothing,19.14,3,0.05,17.94
7394,19,16-11-2024,Clothing,104.6,2,0.15,79.61
7395,2,18-04-2024,Electronics,749.04,2,0.05,303.47
7396,14,15-03-2024,Home & Kitchen,297.94,4,0.05,262.61
7397,37,17-07-2024,Home & Kitchen,393.02,7,0.2,894.87
7398,32,20-02-2024,Sports,140.47,4,0.2,181.61
7399,61,22-07-2024,Beauty,19.03,6,0.05,39.82
7400,33,15-06-2024,Home & Kitchen,354.29,7,0.05,712.63
7401,63,06-10-2024,Electronics,120.83,4,0.15,93.52
7402,4,12-12-2024,Home & Kitchen,220.84,3,0,219.14
7403,21,23-06-2024,Sports,29.01,7,0,87.03
7404,63,09-07-2024,Sports,28.58,5,0.15,30.34
7405,13,02-03-2024,Beauty,39.08,4,0.1,27.84
7406,58,23-02-2024,beauty,108.9,4,0.15,151.12
7407,70,18-09-2024,Books,48.92,6,0,-55.89
7408,18,17-07-2024,Books,36.43,5,0,74.14
7409,37,18-04-2024,Books,31.73,3,0,30.77
7410,38,09-06-2024,Books,33.03,4,0,52.58
7411,58,07-09-2024,Home & Kitchen,101.41,1,0.1,13.88
7412,34,01-07-2024,Clothing,116.22,7,0.2,268.71
7413,48,19-04-2024,Clothing,76.95,4,0.1,56.99
7414,57,29-10-2024,Home & Kitchen,102.27,4,0.05,147.07
7415,26,17-04-2024,Beauty,28.05,7,0.05,59.93
7416,11,16-08-2024,Electronics,976.05,6,0,1838.28
7417,12,19-05-2024,Clothing,100.36,6,0.05,198.2
7418,58,09-12-2024,Electronics,415.55,2,0.1,325.7
7419,26,26-11-2024,Beauty,85.19,1,0.15,24.58
7420,67,04-05-2024,Beauty,119.21,3,0.05,62.53
7421,52,16-05-2024,Books,36.28,6,0.1,53.27
7422,14,10-07-2024,Books,22.98,7,0.3,45.79
7423,40,03-10-2024,Home & Kitchen,263.53,3,0,318.43
7424,21,23-02-2024,Electronics,157.21,4,0.15,
7425,18,12-11-2024,Home & Kitchen,31.58,7,0.1,73.7
7426,26,31-10-2024,Clothing,26.24,5,0.15,21.75
7427,28,19-11-2024,Home & Kitchen,95.62,6,0,251.63
7428,37,03-10-2024,Beauty,45.91,7,0,89.9
7429,68,26-02-2024,Books,18.98,7,0.15,18.39
7430,41,23-04-2024,Sports,96.98,7,0,133.58
7431,33,30-12-2024,Sports,45.59,7,0,72.91
7432,21,04-04-2024,Sports,282.42,5,0,507.45
7433,25,28-07-2024,Clothing,81.13,2,0,66.32
7434,5,27-10-2024,Home & Kitchen,198.83,2,0,117.93
7435,36,27-10-2024,Electronics,,7,0.05,1433.91
7436,36,16-04-2024,Beauty,76.97,7,0.05,198.95
7437,34,08-07-2024,Books,35.36,3,0,29.38
7438,56,20-12-2024,Electronics,1137.6,2,0.05,811.16
7439,22,03-07-2024,Clothing,142.96,7,0.15,156.57
7440,11,08-10-2024,Beauty,30.56,5,0.1,-30.16
7441,29,05-09-2024,Books,14.38,3,0.05,15.11
7442,35,04-04-2024,Clothing,28.69,2,0,11.62
7443,41,09-05-2024,Sports,46.41,3,0.05,33.12
7444,2,22-07-2024,Beauty,20.88,7,0,41.63
7445,2,01-09-2024,Electronics,323.77,5,0,257.41
7446,35,10-10-2024,Home & Kitchen,187.12,5,0.2,259.66
7447,64,01-03-2024,Books,18.41,5,0,23.99
7448,6,25-09-2024,Beauty,41.57,5,0.1,45.8
7449,10,12-03-2024,Clothing,55.95,4,0,54.02
7450,39,14-08-2024,Electronics,457.41,3,0.05,463.75
7451,27,22-02-2024,Clothing,56,7,0.15,102.17
7452,31,13-02-2024,Sports,96.54,6,0.1,115.64
7453,51,26-11-2024,Electronics,415.12,1,0.15,65.86
